"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"1298.37500","1270.37500","","PI6NOS zendamateur relais","Almere","Analoog"
"151.362500","","","Banis automaterialen","Almere",""
"154.11250","154.11250","","Geen idee onbekend ","Almere ","NXDN"
"159.610000","","","SpareRib Express","Almere",""
"160.82500","156.22500	","","Marifoon kanaal 64, Vaartsluis en Zuidersluis","Almere","Analoog"
"162.150000","157.55000","","Marifoon kanaal 31 Jachthaven  Marina Muiderzand","Almere",""
"164.990000","164.99000","","Almeerse Reddings Brigade","Almere",""
"170.390000","","","Motorrijschool MotorExperience","Almere",""
"170.97000","165.19000","C 88.5","Rode Kruis kanaal D/C repeater, Regio Flevoland","Almere-Stad","Analoog"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Flevoland","Almere","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Flevoland","Almere","DMR"
"172.69375","168.09375","C 88.5","Rode Kruis kanaal RV8, Regio Flevoland","Almere","Analoog"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Flevoland","Almere","DMR"
"380.08750","380.08750","","Brandweer Flevoland, Objectportofoon TS 4133 (DMO)","Almere-Stad","TETRA"
"390.06250","390.06250","","Brandweer Flevoland, Objectportofoon TS 4132 (DMO)","Almere-Buiten","TETRA"
"419.87500","419.87500","C 114.8","Keolis - AllGo (Kort Verkeer)","Almere","Analoog"
"419.87500","419.87500","C 100.0","Keolis - AllGo (Kort Verkeer)","Almere","Analoog"
"421.78125","411.78125","","AZC Almere (DMO repeater)","Almere","TETRA"
"425.93125","425.93125","","Evenementen Zand Almere Poort","Almere Poort","TETRA"
"425.94375","425.94375","","Evenementen Zand Almere Poort ","Almere Poort ","TETRA"
"429.887500","","136,5","NS Servicemedewerkers station Almere-Centrum","Almere",""
"438.02500","430.42500","","PI1FLD zendamateur relais","Almere","DMR"
"438.312500","430.71250","","PI1SHA zendamateur relais DSTAR","Almere",""
"440.875000","440.87500","","CityMall 036 <BR>Type: DMR/NXDN <BR>CC: Ran 57 <BR>TS:  <BR>TG(s):","Almere",""
"445.56250","445.56250","","Vomar Voordeelmarkt Walt Disneyplantsoen (Winkelpersoneel)","Almere","DMR"
"445.56250","445.56250","","Leen Bakker Doemere (winkelpersoneel)","Almere Buiten","DMR"
"446.003125","446.003125","","Holiday Inn Express Hotel Almere","Almere-Buiten","dPMR"
"446.00625","446.00625","C 67.0","Albert Heijn Rio de Janeirostraat (Winkelpersoneel)","Almere-Buiten","Analoog"
"446.00625","446.00625","C 127.3","Praxis Megastore (Markerkant)","Almere","Analoog"
"446.00625","446.00625","103.5","Jumbo Supermarkt - Detroitpad (Winkelpersoneel)","Almere-Buiten","Analoog"
