"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"152.687500","152.68750","","ABBOTT","Weesp",""
"153.312500","","","Kerkradio Protestantse Gemeente Weesp En Driemond","Weesp",""
"156.5000","156.5000","","Marifoon kanaal 10 Brug De Uitkomst","Weesp","Analoog"
"455.910000","455.91000","146,2","ABBOTT (Beveiliging)","Weesp",""
"456.170000","456.17000","186,2","ABBOTT (BHV Calamiteitenkanaal)","Weesp",""
"456.430000","456.43000","141,3","ABBOTT (BHV Oefenkanaal)","Weesp",""
"460.11875","450.11875","","Abbott (BHV)","Weesp","DMR"
"460.30000","450.30000","","Abbott (Productie)","Weesp","DMR"
"467.250000","457.25000","141,3","ABBOTT (Lactulosefabriek)","Weesp",""
"468.30625","468.30625","","Brandweer Veiligheidsregio Amsterdam-Amstelland objectportofoon TS 1431","Weesp","Analoog"
"469.530000","459.53000","203,5","ABBOTT (Technische Dienst)","Weesp",""
