"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"119.250000","119.25000","","Midden-Zeeland Radio (Aerodrome Information)","Arnemuiden","Analoog"
"123.50000","123.50000","","Stichting Samenwerkende Zweefvliegers Midden-Zeeland","Arnemuiden","Analoog"
"131.87500","131.87500","","Bristow Search And Rescue (Ops Vliegveld Midden-Zeeland)","Arnemuiden","Analoog"
"144.950000","144.95000","","PI1YMD zendamateur simplex node DSTAR","IJmuiden",""
"148.0125","148.0125","","Kerkradio Hersteld Hervormde Gemeente","Genemuiden","Analoog"
"148.6125","148.6125","","Kerkradio Gereformeerde Gemeente Genemuiden","Genemuiden","Analoog"
"148.7125","148.7125","","Kerkradio Hervormde Gemeente Genemuiden","Genemuiden","Analoog"
"148.9625","148.9625","","Kerkradio Hervormde Gemeente IJsselmuiden en Grafhorst","IJsselmuiden","Analoog"
"151.812500","","","Touringcarbedrijf Wetering","IJsselmuiden",""
"151.812500","","","Wetering","IJsselmuiden",""
"151.937500","","","Cebo Holland/IJ-bunker","IJmuiden",""
"152.037500","152.03750","","Vliegveld en paracentrum Midden-Zeeland","Arnemuiden",""
"152.412500","","","VSV van Slooten vis zeevisgroothandel","IJmuiden",""
"153.0375","153.0375","","Kerkradio Gereformeerde Kerk Genemuiden","Genemuiden","Analoog"
"153.2375","153.2375","","Kerkradio Hervormde Gemeente Genemuiden","Genemuiden","Analoog"
"153.2625","153.2625","","Kerkradio Hervormde Gemeente IJsselmuiden en Grafhorst","IJsselmuiden","Analoog"
"153.2875","153.2875","","Kerkradio Kerkrentmeesters Hervormde Gemeente Arnemuiden","Arnemuiden","Analoog"
"153.4375","153.4375","","Kerkradio Nederlands Gereformeerde Kerk IJsselmuiden","IJsselmuiden","Analoog"
"155.462500","","","Van Dalfsen grondbedrijf","Genemuiden",""
"156.600000","156.60000","","Marifoon Kanaal 12 VTS Amsterdam sector Zeehaven IJmuiden","IJmuiden","Analoog"
"156.72500","156.72500","","Marifoonkanaal 74, Marina Seaport ","IJmuiden","Analoog"
"158.050000","","","Oboardporto King of Scandinavia","IJmuiden",""
"158.050000","","","Oboardporto Princess of Norway","IJmuiden",""
