"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"118.48333","118.48333","","Fokker Four Formation","Lelystad Airport","Analoog"
"118.48333","118.48333","","Air Combat Europe","Lelystad Airport","Analoog"
"120.725000","120.72500","","Lelystad ATIS","Lelystad Airport",""
"120.825000","120.82500","","Lelystad Approach (Secondary)","Lelystad Airport",""
"121.54166","121.54166","","Lelystad Airport (Baankanaal)","Lelystad ","Analoog"
"123.675000","123.67500","","Lelystad Delivery (Primary)","Lelystad Airport",""
"123.825000","123.82500","","Lelystad Tower en Delivery (Secondary)","Lelystad Airport",""
"130.30000","130.30000","","HeliCentre Helicopter Services","Lelystad","Analoog"
"131.475000","131.47500","","Vliegclub Flevo","Lelystad Airport",""
"134.525000","134.52500","","Lelystad Approach (Primary)","Lelystad Airport",""
"135.175000","135.17500","","Lelystad Tower (Primary)","Lelystad Airport",""
"145.73750","145.13750","C 77,0","PI3FLD zendamateur relais","Lelystad","Analoog"
"152.012500","","","Schouwburg F1","Lelystad",""
"152.062500","","","Watersportclub de Houtribhaven","Lelystad",""
"152.062500","","","Zuiderzee Ziekenhuis","Lelystad",""
"152.112500","","","Jachthaven de Houtribhaven","Lelystad",""
"152.112500","","","Schouwburg F2","Lelystad",""
"152.112500","","","Zuiderzee Ziekenhuis","Lelystad",""
"156.700000","","","Marifoon kanaal 14 Havendienst Bataviahaven","Lelystad",""
"160.65000","156.05000","","Marifoonkanaal 1, Centrale Meldpost IJsselmeergebied","Lelystad","Analoog"
"160.82500","156.22500	","","Marifoon kanaal 64, Noordersluis","Lelystad","Analoog"
"161.600000","157.00000","","Marifoon kanaal 20 Houtribsluizen Markermeer/IJsselmeer","Lelystad",""
"164.330000","","","Staatsbosbeheer","Lelystad",""
"165.170000","","","KNBRD kanaal 3/geel brigade Lelystad brigade nummer 78-00,,49","Lelystad",""
"170.05000","170.05000","C 241,8","Rijvaardigheidscentrum Lelystad","Lelystad","Analoog"
"170.09000","170.09000","C 225.7","Rijvaardigheidscentrum Lelystad","Lelystad",""
"171.710000","","","Politieacademie - Verkeersveiligheidscentrum","Lelystad",""
"173.53000","173.53000","","Politieacademie - Verkeersveiligheidscentrum","Lelystad","Analoog"
"209.600000","","","Rapportageverbinding Omroep Flevoland","Lelystad",""
