"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"129.97500","129.97500","","Amsterdamsche Club Voor Zweefvliegen","Soesterberg","Analoog"
"1298.500000","1270.50000","","PI6AMF zendamateur relais","Amersfoort","Analoog"
"131.775000","131.77500","","Lukkien Heliport","Ede",""
"145.57500","144.97500","C 77,0","2 Meter Radiozendamateur Repeaterstation PI3UTR","IJsselstein","Analoog"
"145.625000","145.02500","","PI3AMF zendamateur relais","Amersfoort",""
"148.0125","148.0125","","Kerkradio Gereformeerde Gemeente","Veenendaal","Analoog"
"148.0375","148.0375","","Kerkradio Hervormde gemeente Renswoude","Renswoude","Analoog"
"148.137500","148.137500","","Kerkradio Parochie Geboorte Johannes de Doper","Montfoort","Analoog"
"148.23750","148.23750","","Kerkradio Geloofsgemeenschap H. Jacobus","Lopik","Analoog"
"148.4875","148.4875","","Kerkradio Hersteld Hervormde Gemeente Leerbroek","Leerbroek","Analoog"
"148.6125","148.6125","","Kerkradio Hervormde Gemeente Lexmond","Lexmond","Analoog"
"148.6125","148.6125","","Kerkradio R.K. Parochie St. Jan de Doper Vecht en Venen","Abcoude","Analoog"
"148.6875","148.6875","","Kerkradio Hervormde Gemeente Benschop","Benschop","Analoog"
"148.7125","148.7125","","Kerkradio Gereformeerde Gemeente Woerden","Woerden","Analoog"
"148.7625","148.7625","","Kerkradio Hervormde Gemeente Nieuwland","Nieuwland","Analoog"
"148.7875","148.7875","","Kerkradio PKN Hervormde Gemeente Zegveld","Zegveld","Analoog"
"148.8125","148.8125","","Kerkradio Gereformeerde Gemeente Rhenen","Rhenen","Analoog"
"148.8125","148.8125","","Kerkradio Hervormde Gemeente Ameide-Tienhoven","Ameide","Analoog"
"148.8375","148.8375","","Kerkradio Gereformeerde Gemeente Zeist","Zeist","Analoog"
"148.8625","148.8625","","Kerkradio Hervormde Gemeente Wilnis","Wilnis","Analoog"
"148.8875","148.8875","","Kerkradio Hervormde Kerk Polsbroek","Polsbroek","Analoog"
"148.9125","148.9125","","Kerkradio Gereformeerde Kerk Vinkeveen","Vinkeveen","Analoog"
"148.9125","148.9125","","Kerkradio Christelijke Gereformeerde Kerk Driebergen ","Driebergen-Rijsenburg","Analoog"
"148.9625","148.9625","","Kerkradio Hervormde Gemeente Kamerik","Kamerik","Analoog"
"148.9625","148.9625","","Kerkradio Gereformeerde Kerk Spakenburg","Spakenburg","Analoog"
"148.9875","148.9875","","Kerkradio Protestantse Gemeente Houten","Houten","Analoog"
"149.0125","149.0125","","Kerkradio Diakonie van de Hervormde Gemeente Lopik","Lopik ","Analoog"
"149.787500","","","Taxi Keistad","Amersfoort",""
"149.787500","","","Taxi Eemland","Soest",""
"149.812500","","","Kleijer","Ede",""
"149.887500","","","Taxibedrijf Van Gennip","Uden",""
"149.887500","","","Schoonhoven-Buytendijk","Utrecht",""
"150.112500","","","Bakkerij Wagemakers","Utrecht",""
"150.412500","","","Van de Brand Grondwerken","Uden",""
"150.587500","","","Paalman elektrotechniek","Uden",""
"150.637500","","","De Wit bv schoonmaakbedrijf","Utrecht",""
"150.637500","","","De Wit Containers","Utrecht",""
"150.66250","150.66250","","Heijmans wegenbouw","Bunnik","Analoog"
"150.662500","","","Lavo bouwmaterialen","Woudenberg",""
"150.737500","","","AZU Academisch  Zh","Utrecht",""
"150.787500","","","Van Asch containers","Soest",""
"150.812500","","","Kondor-Wessels/Volker-Stevin wegenbouw","Utrecht",""
"151.037500","","","Loodgietersbedrijf Verdonk","Utrecht",""
"151.312500","","","Ascom Telecommunicatie","Nieuwegein",""
"151.312500","","","AZU Academisch  Zh","Utrecht",""
"151.337500","","","Rijschool van Zuilen","Utrecht",""
"151.337500","","","ROVU wegenbouw","Utrecht",""
"151.462500","","","Van de Velden","Utrecht",""
"151.587500","","","Antennebeheer Midden Nederland","Veenendaal",""
"151.612500","","","Van Rooyen","Woerden",""
"151.662500","","82,5","Diematax","Utrecht",""
"151.937500","","","Academisch  ZH","Utrecht",""
"151.937500","","","AZU Academisch  Zh","Utrecht",""
"152.012500","","","AZU Academisch  Zh","Utrecht",""
"152.037500","","","AZU Academisch  Zh","Utrecht",""
"152.037500","","","Douwe Egberts","Utrecht",""
"152.06250","152.06250","","Ouwehands Dierenpark","Rhenen","Analoog"
"152.062500","","","Theater en kongrescentrum De Flint","Amersfoort",""
"152.062500","","","Van Dijd food products","Lopik",""
"152.062500","","","Verpleeghuis De Geinsche Hof","Nieuwegein",""
"152.062500","","","Camping De Berekuil","Utrecht",""
"152.062500","","","Verpleeghuis Richard Hoogland","Utrecht",""
"152.062500","","","Baggermij  Broekhoven","Zeist",""
"152.11250","152.11250","","Ouwehands Dierenpark (Dierverzorgers)","Rhenen","DMR"
"152.11250","152.11250","","Ouwehands  Dierenpark (Parkeren)","Rhenen","Analoog"
