"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"118.48333","118.48333","","Fokker Four Formation","Lelystad Airport","Analoog"
"118.48333","118.48333","","Air Combat Europe","Lelystad Airport","Analoog"
"121.54166","121.54166","","Lelystad Airport (Baankanaal)","Lelystad ","Analoog"
"122.47500","122.47500","","Zweefvliegveld de Voorst","Marknesse","Analoog"
"1298.37500","1270.37500","","PI6NOS zendamateur relais","Almere","Analoog"
"130.12500","130.12500","","Zweefvliegclub Flevo","Biddinghuizen","Analoog"
"130.30000","130.30000","","HeliCentre Helicopter Services","Lelystad","Analoog"
"145.73750","145.13750","C 77,0","PI3FLD zendamateur relais","Lelystad","Analoog"
"148.1875","148.1875","","Kerkradio Christelijk Gereformeerde Kerk Eben-Ha&amp;euml;zer","Urk","Analoog"
"148.487500","148.4875","","Hersteld Hervormde Gemeente Moria ","Urk","Analoog"
"148.612500","","","Kerkradio Christelijke Gereformeerde Maranathakerk Urk","Urk",""
"148.712500","","","Kerkradio Gereformeerde Gemeente Urk","Urk",""
"148.9125","148.9125","","Kerkradio Christelijke Gereformeerde Maranathakerk Urk","Urk","Analoog"
"150.937500","","","Nieuwsblad Het Urkerland","Urk",""
"151.162500","","","Nijssen","Dronten",""
"151.362500","","","Banis automaterialen","Almere",""
"151.437500","","","Cebeco landbouwmechanisatie","Dronten",""
"151.862500","","","Taxi van Sloten","Urk",""
"152.012500","","","Schouwburg F1","Lelystad",""
"152.062500","","","Watersportclub de Houtribhaven","Lelystad",""
"152.062500","","","Zuiderzee Ziekenhuis","Lelystad",""
"152.062500","","","Naturistenterrein Flevonatuur","Zeewolde",""
"152.112500","152.11250","","Watersport Vereniging Zeewolde","Zeewolde",""
"152.112500","","","Jachthaven de Houtribhaven","Lelystad",""
"152.112500","","","Schouwburg F2","Lelystad",""
"152.112500","","","Zuiderzee Ziekenhuis","Lelystad",""
"152.112500","","","Gemeentelijke visafslag","Urk",""
"152.112500","","","Naturistenterrein Flevonatuur","Zeewolde",""
"152.262500","","","Dierenambulance","Dronten",""
"152.387500","","","Piepers reddingsboot/ambulance","Urk",""
"152.437500","","","Gemeentewerken Dronten","Dronten",""
"152.612500","","","Medisch gebruik","Dronten",""
"153.18125","148.58125","","Center Parcs De Eemhof","Zeewolde","DMR"
