"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"152.362500","","","Dierenkliniek","Heerlen",""
"158.830000","","","Hans van Lugten","Heerlen",""
"164.090000","","","Jansen transportbedrijf","Heerlen",""
"170.650000","","","Hago Nederland","Heerlen",""
"171.770000","167.17000","","NS Perron- en rangeerdienst","Heerlen",""
"438.262500","430.66250","","PI1HRL zendamateur relais ","Heerlen","DMR"
"446.031250","446.03125","","Parkstad Limburg Theaters","Heerlen",""
"446.093750","446.09375","67,0","CenA (Winkelpersoneel)","Heerlen",""
"455.810000","455.81000","","Eagle Verkeersregelaars","Heerlen",""
"455.91000","455.91000","C 151.4","Open Universiteit (BHV)","Heerlen","Analoog"
"460.48750","450.48750","","ABP (Beveiliging)","Heerlen","DMR"
