rx,tx,ctcss/dsc,omschrijving,plaats,groep
118.14166,118.14166,,Airport Teuge Nationaal Paracentrum Teuge,Teuge,Analoog
121,121,,Airport Teuge Teuge Radio (Aerodrome Information),Teuge,Analoog
123.35,123.35,,Nijmeegse Aeroclub,Malden,Analoog
123.35,123.35,,Zweefvliegclub Deelen / Zweefvliegclub Rotterdam,Arnhem,Analoog
130,130,,HeliFlight helikoptervluchten,Stroe,Analoog
131.49166,131.49166,,HeliAir Helicopter Services,Harskamp,Analoog
131.7,131.7,,Heliport Stroe (Stroe Radio),Stroe,Analoog
145.7,145.1,"77,0",PI3DTC zendamateur relais,Doetinchem,
145.725,145.125,"77,0",PI3APD zendamateur relais,Apeldoorn,
145.75,145.15,"77,0",PI3NYM zendamateur relais,Nijmegen,
145.7875,145.1875,"77,0",PI3YSS zendamateur relais Fm en Fusion,Zutphen,
146.15,,,Brandweer portofoon kanaal 5,Gelderland,
146.17,,,Brandweer portofoon kanaal 6,Gelderland,
146.23,,,Brandweer portofoon kanaal 7,Gelderland,
146.71,,,Brandweer portofoon kanaal 8,Gelderland,
148.0125,148.0125,,Kerkradio OLV van Lourdeskerk,Marienvelde,Analoog
148.0125,148.0125,,Kerkradio Hervormde Gemeente Zuilichem,Zuilichem,Analoog
148.0875,148.0875,,Kerkradio Diaconie van de Hersteld Hervormde Gemeente,Oosterwolde,Analoog
148.2125,148.2125,,Kerkradio Beheer Kerktelefoon,Opheusden,Analoog
148.2375,148.2375,,Kerkradio PKN Gemeente Almen,Almen,Analoog
148.2375,148.2375,,Kerkradio Gereformeerde Kruiskerk Wezep,Wezep,Analoog
148.2625,148.2625,,Kerkradio Gereformeerde Gemeente Barneveld,Barneveld,Analoog
148.4125,148.4125,,Kerkradio St. Vmb. Hersteld Nederlandse Hervormde Gemeente Nieuwaal,Nieuwaal,Analoog
148.4125,148.4125,,Kerkradio Christelijke Gereformeerde Kerk Nunspeet,Nunspeet,Analoog
148.4375,148.4375,,Kerkradio Vrije Evangelische Gemeente Heerde,Heerde,Analoog
148.4375,148.4375,,Kerkradio Hervormde Gemeente Heukelum,Heukelum,Analoog
148.4375,148.4375,,Kerkradio Hervormde Gemeente Lunteren,Lunteren,Analoog
148.4625,148.4625,,Kerkradio Gereformeerde Gemeente Waardenburg,Waardenburg,Analoog
148.4625,148.4625,,Kerkradio Nederlands Hervormde Gemeente Emst,Emst,Analoog
148.4875,148.4875,,Kerkradio Hervormde Gemeente Lienden,Lienden,Analoog
148.4875,148.4875,,Kerkradio Vrije Oud Gereformeerde Gemeente Oldebroek,Oldebroek,Analoog
148.4875,148.4875,,Kerkradio Protestante Gemeente Zelhem,Zelhem,Analoog
148.4875,148.4875,,Enschede R.K. Parochie Maria Vlucht Geloofsgemeenschap Lonneker,Enschede,Analoog
148.4875,148.4875,,Kerkradio Gereformeerde Kerk,Apeldoorn,
148.5375,148.5375,,Kerkradio Nederlands Gereformeerde Kerk,Wezep,Analoog
148.5625,148.5625,,Kerkradio Gereformeerde Kerk Herwijnen,Herwijnen,Analoog
148.5625,148.5625,,Kerkradio Kerkvoogdij Hersteld Hervormde Gemeente Ederveen,Ederveen,Analoog
148.5875,148.5875,,Kerkradio Hersteld Hervormde Kerk,Kerkwijk,Analoog
148.5875,148.5875,,Kerkradio Buitengewone Wijkgemeente Goede Herderkerk Epe,Epe,Analoog
148.6125,148.6125,,Kerkradio Protestantse Gemeente Aalten,Aalten,Analoog
148.6375,148.6375,,Kerkradio Hervormde Gemeente Kootwijk/ Kootwijkerbroek,Kootwijkerbroek,Analoog
148.6375,148.6375,,Kerkradio Gereformeerde Gemeente Nunspeet,Nunspeet,Analoog
148.6375,148.6375,,Kerkradio Nederlands Hervormd Kerk Opheusden,Opheusden,Analoog
148.6375,148.6375,,Kerkradio Protestantse Gemeente Eibergen,Eibergen,Analoog
148.6625,148.6625,,Kerkradio Hersteld Hervormde Gemeente Lunteren,Lunteren,Analoog
148.6625,148.6625,,Kerkradio Protestantse Gemeente Varsseveld (iw),Sinderen,Analoog
148.6625,148.6625,,Kerkradio Hervormde Gemeente Haaften,Haaften,Analoog
148.6875,148.6875,,Kerkradio Gereformeerde Gemeente Kootwijkerbroek,Kootwijkerbroek,Analoog
148.6875,148.6875,,Kerkradio Beheer Kerktelefoon,Opheusden,Analoog
148.6875,148.6875,,Kerkradio R.K. Parochie H. Werenfridus Zieuwent,Zieuwent,Analoog
148.7125,148.7125,,Kerkradio Nederlands Hervormde Kerk Heerde,Heerde,Analoog
148.7125,148.7125,,Kerkradio Gereformeerde Gemeente Barneveld,Barneveld,Analoog
148.7125,148.7125,,Kerkradio R.K. Parochie v/d H. Mattheus Eibergen,Eibergen,Analoog
148.7375,148.7375,,Kerkradio Regenboogkerk Epe,Epe,Analoog
148.7625,148.7625,,Kerkradio HH. Franciscus en Clara,Twello,Analoog
148.7875,148.7875,,Kerkradio Hervormde Gemeente Herveld en Slijk-Ewijk,Herveld,Analoog
148.7875,148.7875,,Kerkradio Hervormde Gemeente Hoevelaken Stoutenburg en Achterveld,Hoevelaken,Analoog
148.7875,148.7875,,Kerkradio Diaconie Hersteld Hervormde Gemeente Nederhemert,Nederhemert,Analoog
148.7875,148.7875,,Kerkradio Hervormde Gemeeente Oene PKN,Oene,Analoog
