"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"118.475000","118.47500","","London Control (Sector 14 Clacton West below FL 245)","Landelijk","Analoog"
"118.82500","118.82500","","London Terminal Control (North East Departures)","Landelijk","Analoog"
"119.77500","119.77500","","London Terminal Control (North West Departures)","Landelijk","Analoog"
"120.02500","120.02500","","London Control (Standby)","Landelijk","Analoog"
"120.17500","120.17500","","London Terminal Control (Timba Sector)","Landelijk","Analoog"
"120.47500","120.47500","","London Terminal Control (South Standby)","Landelijk","Analoog"
"120.52500","120.52500","","London Terminal Control (Biggin Sector)","Landelijk","Analoog"
"121.02500","121.02500","","London Terminal Control (Cowly West Sector)","Landelijk","Analoog"
"121.22500","121.22500","","London Terminal Control (Redfa Sector)","Landelijk","Analoog"
"121.27500","121.27500","","London Terminal Control (Bovingdon Sector)","Landelijk","Analoog"
"123.22500","123.22500","","London Control (Standby)","Landelijk","Analoog"
"123.90000","123.90000","","London Terminal Control (Lambourne Sector)","Landelijk","Analoog"
"124.60000","124.60000","","London Control (Flight Information Service East Sector)","Landelijk","Analoog"
"124.75000","124.75000","","London Control (Flight Information Service West Sector)","Landelijk","Analoog"
"124.92500","124.92500","","London Terminal Control (Dagga Sector)","Landelijk","Analoog"
"125.47500","125.47500","","London Control (Flight Information Service North Sector)","Landelijk","Analoog"
"126.07500","126.07500","","London Control (Sector 06 - Berry Head)","Landelijk","Analoog"
"126.775000","126.77500","","London Control (Sector 11 Northsea above FL 335)","Landelijk","Analoog"
"126.87500","126.87500","","London Control (North Group Standby)","Landelijk","Analoog"
"127.10000","127.10000","","London Control (Sector 28 - Daventry North)","Landelijk","Analoog"
"127.42500","127.42500","","London Control (Sector 2 London Upper Sector East)","Landelijk","Analoog"
"127.70000","127.70000","","London Control (West Group Standby)","Landelijk","Analoog"
"127.82500","127.82500","","London Control (Sector 22 - Hurn)","Landelijk","Analoog"
"127.87500","127.87500","","London Control (Sector 34 - Daventry North)","Landelijk","Analoog"
"127.95000","127.95000","","London Terminal Control (Vaton Sector)","Landelijk","Analoog"
"128.125000","128.12500","","London Control (Sector 10 Northsea below FL 335)","Landelijk",""
"128.15833","128.15833","","London Control (Sector 13 Clacton West above FL 245)","Landelijk","Analoog"
"128.42500","128.42500","","London Control (Sector 17 Lydd)","Landelijk","Analoog"
"128.47500","128.47500","","London Terminal Control (Welin East Sector)","Landelijk","Analoog"
"128.81666","128.81666","","London Control (Sector 36 - Exmor)","Landelijk","Analoog"
