"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"128.00000","128.00000","","Dienst Luchtvaartpolitie (Helikopters A/A)","Landelijk","Analoog"
"131.60000","131.60000","","Dienst Luchtvaartpolitie (Operations)","Schiphol","Analoog"
"171.710000","","","Politieacademie - Verkeersveiligheidscentrum","Lelystad",""
"173.030000","","79,7","Gelredome politie (Alpha Mike en Romeo)","Arnhem",""
"173.53000","173.53000","","Politieacademie - Verkeersveiligheidscentrum","Lelystad","Analoog"
"241.60000","241.60000","","Dienst Luchtvaartpolitie (Helikopters A/A)","Landelijk","Analoog"
"374.52500","374.52500","","Dienst Luchtvaartpolitie (Helikopters A/A)","Landelijk","Analoog"
"380.01250","380.01250","","DMO Politie Simplex 1","Landelijk","TETRA"
"390.01250","390.01250","","DMO Politie Simplex 2","Landelijk","TETRA"
"456.290000","456.29000","225,7","BHV Politie kroonstraat","Utrecht",""
"459.350000","","","Hoofdbureau Politie Doelwater Centrum (gevangenbewaarders)","Rotterdam",""
"464.887500","","","Parkeer Politie cq Handhaving","Venray",""
"469.550000","459.55000","88,5","Politie Drenthe BHV bureaeu Balkengracht","Assen",""
