"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"122.750000","122.75000","","Luchtverkeersleiding Nederland Testvluchten","Landelijk",""
"146.41000","146.41000","C 71.9","Intro Verkeersregelaars (Kanaal 7)","Scheveningen","Analoog"
"146.41000","146.41000","C 82.5","Intro Verkeersregelaars (Kanaal 5)","Scheveningen","Analoog"
"146.41000","146.41000","C 241.8","Intro Verkeersregelaars (Kanaal 1)","Scheveningen","Analoog"
"150.13750","150.13750","C 141.3","Team Intro Verkeersregelaars (Kanaal 3)","Scheveningen","Analoog"
"150.38750","150.38750","C 88.5","Intro Verkeersregelaars (Kanaal 11?)","Scheveningen","Analoog"
"150.38750","150.38750","C 123.0","Intro Verkeersregelaars (Kanaal 7?)","Scheveningen","Analoog"
"150.38750","150.38750","C 74.4","Intro Verkeersregelaars (Kanaal 3)","Scheveningen","Analoog"
"150.712500","","","Rijschool Snel Verkeerseducatie","Grave",""
"151.537500","","","Taxi Waaksma (onderling verkeer ritten gaan via dataverbinding)","Kootstertille",""
"152.062500","147.88750","199,5","Dolfinarium (Verkeersregelaars)","Harderwijk",""
"152.062500","","","Stadion Sparta Het Kasteel (Verkeersregelaars)","Rotterdam",""
"152.112500","","210,7","ProRail Verkeersleiding BHV","Amsterdam",""
"152.637500","","","Verkeersschool Hoek Bouma","Wognum",""
"152.912500","","","Verkeerstheoriecentrum","Helmond",""
"154.11250","149.51250","C 141,3","Intro Verkeersregelaars (Kanaal 16)","Scheveningen","Analoog"
"154.11250","149.51250","","Van Amerongen Facilitair (Verkeersregelaars)","Arnhem","DMR"
"154.112500","149.51250","136,5","De Verkeersregelaars Centrale","Landelijk",""
"154.112500","149.51250","136,5","Verkeersregelaars","Enschede",""
"154.112500","149.51250","100,0","Verkeersregelaars Club","Goirle",""
"155.412500","","","Verkeersschool Van Lankveld","Uden",""
"155.462500","","","Verkeersschool Haan","Krimpen aan den IJssel",""
"155.612500","","","Verkeersschool Van de Bosch","Leiden",""
"155.662500","","","Verkeersschool  Sijtsma","Leeuwarden",""
"155.737500","","","Verkeersschool De Gelder","Ridderkerk",""
"156.425000","156.42500","","Marifoon Kanaal 68 VTS Amsterdam sector Meldpunt Verkeer","Amsterdam","Analoog"
"156.425000","156.42500","","Marifoon kanaal 68 Verkeerspost Tiel Sector Sint Andries","Tiel",""
"156.47500","156.47500","","Marifoonkanaal 69, Verkeerspost Tiel (Sector Tiel)","Tiel","Analoog"
"156.550000","156.55000","","Marifoonkanaal 11 Haven Coördinatie Centrum Rotterdam (Verkeerszaken)","Rotterdam","Analoog"
"156.57500","156.57500","","Marifoonkanaal 71, Verkeerspost Ouddorp ","Ouddorp ","Analoog"
"156.575000","156.57500","","Marifoon kanaal 71 Verkeerspost Dordrecht Nautisch Informatiekanaal","Dordrecht",""
"156.62500","156.62500","","Marifoonkanaal 72, Inter ship verkeer binnenwateren en territoriale zee","Landelijk","Analoog"
"156.72500","156.72500","","Marifoonkanaal 74, Verkeerscentrale Ems","Emden","Analoog"
"157.37500","157.37500","","Marifoonkanaal 87, Zeeverkeerspost Ouddorp ","Ouddorp","Analoog"
"158.650000","","","Verkeersschool Kiel man
","Terneuzen
",""
"158.670000","","","Verkeersschool Out","Zaandam",""
"158.850000","","","Verkeersschool Blok-Huls","Zwolle",""
"159.470000","","","Verkeersschool Janssen","Velp",""
"159.490000","","","Verkeersschool Brouwer","Arnhem",""
"159.650000","","","Verkeersschool Bolweg","Alkmaar",""
"159.730000","","","Verkeersschool Spruitenberg","Arnhem",""
"159.770000","","","Verkeersschool Accuraat","Utrecht",""
"159.87000","159.87000","C 141.3","Team Intro Verkeersregelaars (Kanaal 4)","Scheveningen","Analoog"
"160.570000","","","Cruise Terminal Zuid (verkeersregelaars)","Rotterdam",""
"160.62500","156.02500","","Marifoonkanaal 60, Verkeerspost Wijk bij Duurstede (Sector Wijk bij Duurstede)","Wijk bij Duurstede","Analoog"
"160.62500","156.02500","","Marifoonkanaal 60, Verkeerspost Schellingwoude (Sector Schellingwoude)","Amsterdam","Analoog"
"160.67500","156.07500","","Marifoonkanaal 61, Verkeerspost Wijk bij Duurstede (Sector Maarssen)","Maarssen","Analoog"
"160.700000","156.10000","","Marifoonkanaal 2 Verkeerscentrale Brandaris Terschelling","Terschelling","Analoog"
"160.72500","156.12500","","Marifoonkanaal 62, Verkeerscentrale Den Helder","Den Helder","Analoog"
"160.750000","156.15000","","Marifoon Kanaal 03 VTS Amsterdam sector Verkeersdienst Noordzeekanaal","Amsterdam","Analoog"
"160.77500","156.17500","","Marifoonkanaal 63, Verkeerscentrale Brandaris","Terschelling","Analoog"
"160.77500","156.17500","","Marifoonkanaal 63, Verkeerspost Ameland","Ameland","Analoog"
"160.800000","156.20000","","Marifoon kanaal 04 Verkeerspost Dordrecht Sector Heerjansdam","Dordrecht",""
"160.800000","156.20000","","Marifoon kanaal 04 Verkeerspost Nijmegen VTS sector Nijmegen","Nijmegen",""
"160.825000","156.22500","","Marifoon kanaal 64 Verkeerspost Tiel  Nautisch informatiekanaal Waal","Tiel","Analoog"
"160.825000","156.22500","","Marifoon kanaal 64 Verkeerspost Nijmegen Naurisch informatiekanaal Waal","Nijmegen",""
"160.850000","156.25000","","Marifoon kanaal 05 Verkeerspost Nijmegen VTS Sector Millingen","Millingen",""
"160.850000","156.25000","","Marifoon kanaal 05 Verkeerspost  Schiermonnikoog","Schiermonnikoog",""
"161.550000","156.95000","","Marifoon kanaal 19 Verkeerspost Nijmegen CBS Lobith","Lobith",""
"161.575000","156.97500","","Marifoon kanaal 79 Verkeerspost Dordrecht Sector Dordrecht","Dordrecht",""
"161.650000","157.05000","","Marifoonkanaal 21, Verkeerscentrale Scheveningen","Scheveningen","Analoog"
"163.53000","163.53000","","VerkeersCentrale IJtunnel","Amsterdam","Analoog"
"163.69000","159.09000","C 91,5","Brink Verkeersregelaars","Landelijk","Analoog"
"163.750000","159.15000","","Abe Lenstra Stadion kanaal 2 (parkeer en verkeer)","Heerenveen",""
