"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"148.762500","148.76250","110,9","Gereformeerde Gemeente Capelle aan de IJssel-Middelwatering","Capelle aan de IJssel",""
"148.9625","148.9625","","Kerkradio Kerkrentmeesters Nederlands Hervormde Gemeente Wateringen","Wateringen","Analoog"
"150.762500","","","Hatenboer-Neptunes scheepsdrinkwaterboot","Rotterdam",""
"150.937500","","","Grond Water -en Wegenbouwbedrijf Monshouwer","Heerjansdam",""
"151.587500","","","Dierenambulance Waterland","Purmerend",""
"151.937500","","","Waternet brugwachters Amstel","Amsterdam",""
"152.062500","","","Verpleeghuis De Watersteeg","Veghel",""
"152.062500","","","Schagen weg- en waterbouw","Hasselt",""
"152.062500","","","Grouwster WaterSport","Grou",""
"152.062500","","","Watersportclub de Houtribhaven","Lelystad",""
"152.062500","","","Watercreatie  De Rosslag-Aqua  Terra","Herten",""
"152.112500","152.11250","","Watersport Vereniging Zeewolde","Zeewolde",""
"152.112500","","","GWS (Grouwster WaterSport)","Grou",""
"152.112500","","","Verpleeghuis De Watersteeg","Veghel",""
"152.237500","152.23750","","Schagen weg en waterbouw","Hasselt",""
"152.737500","","","Waterschap Oosterwolde","Oosterwolde",""
"152.887500","","","Waterschap De Veenmarken","Valthermond",""
"153.181250","148.58125","74,4","Koninklijke Watersportverening Sneek / Sneekweek","Sneek",""
"153.337500","","","Kerkradio Hervormde  Gemeente  Oudewater","Oudewater",""
"154.88750","150.28750","","Natuurgebied Amsterdamse Waterleidingduinen","Vogelenzang","NXDN"
"154.887500","","","Drenthe NV Waterleidingmaatschapp","Emmen",""
"156.300000","156.30000","","Marifoon kanaal 6 Sleepboten Emden ship to ship op binnenwater","Emden","Analoog"
"156.47500","156.47500","","Marifoonkanaal 69, Grachten/Binnenwateren","Amsterdam","Analoog"
"156.500000","156.50000","","Marifoonkanaal 10, Veiligheids- en aanroepkanaal binnenwateren","Landelijk","Analoog"
"156.62500","156.62500","","Marifoonkanaal 72, Inter ship verkeer binnenwateren en territoriale zee","Landelijk","Analoog"
"157.950000","157.95000","","Marifoonkanaal 39 Rijkswaterstaat ","Landelijk","Analoog"
"158.430000","","","Pelt en Hooikaas weg- en waterbouw","IJmuiden",""
"159.670000","","","Gouwens grond-,water- en wegenbouw","Krimpen aan den IJssel",""
"159.730000","159.73000","","Blansjaar Kraanverhuur","Wateringen",""
"160.470000","","","Degag weg en waterbouw","Oldenzaal",""
"161.500000","156.90000","","Marifoon kanaal 18 Leeghwaterbrug","Den Haag",""
