"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"161.500000","156.90000","","Marifoonkanaal 18 Zuid-Willemsvaart Controlepost","Smeermaas",""
"169.990000","165.39000","241,8","Gelredome toegangscontrole","Arnhem",""
"170.330000","","","Stadion Sparta Het Kasteel kan 1 (Kaartcontrole -en Stewards)","Rotterdam",""
"170.370000","","","Stadion Sparta Het Kasteel kan 2 (Kaartcontrole -en Stewards)","Rotterdam",""
"170.570000","","","Stadion Sparta Het Kasteel kan 3 (Kaartcontrole -en Stewards)","Rotterdam",""
"419.875000","419.87500","88,5 Hz","Arriva (Controle Teams)","Leiden",""
"446.06875","446.06875","C 94,8","Rondreizend Theater De Parade (Kanaal 6, Kassa/Kiosk/Toegangscontrole)","Landelijk","Analoog"
"451.162500","","","EHAM KLM De-icing 1e Remote (controleurs en trumps) digitaal NXDN","Schiphol",""
"451.212500","","","EHAM KLM De-icing 2e Remote (controleurs en trumps) digitaal NXDN","Schiphol",""
"455.810000","","103,5","PreNed Aviation Security Airport (toegangscontrole terminals)","Rotterdam",""
"461.162500","451.16250","","EHAM KLM De-icing 3e Remote (controleurs en trumps) digitaal NXDN","Schiphol",""
"461.212500","451.21250","","EHAM KLM De-icing 4e Remote (controleurs en trumps) digitaal NXDN","Schiphol",""
