"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"145.587500","144.98750","","ON0BAF zendamateur relais ","Sint-Truiden","DMR"
"146.47000","165.95000","","TT Circuit CP Medisch","Assen","DMR encrypted"
"151.48125","146.88125","","Canon Production Printing","Venlo","DMR"
"151.51875","146.91875","","Canon Production Printing ","Venlo","DMR"
"151.5500","151.5500","","RCT Terminal Hartelhaven","Europoort","DMR"
"151.71875","147.11875","","Esa Estec Ruimtevaartonderzoek","Noordwijk","DMR"
"151.718750","147.11875","","Sportstad Heerenveen multifunctioneel sportcentrum<BR>Type: DMR/DMR <BR>CC: 7 <BR>TS:  <BR>TG(s): 1","Heerenveen",""
"151.95625","151.95625","","Amarant Brabant  ","Waalwijk ","DMR"
"151.96875","147.36875","","Boskalis (Bodemaswasinstallatie HVC terrein)","Alkmaar","DMR"
"152.06250","152.06250","","Riwald Recycling","Almelo","DMR"
"152.06250","152.06250","","BAM Utiliteitsbouw (Kanaal 15)","Landelijk","DMR"
"152.06250","152.06250","","Airport Teuge Zweefvliegclub Teuge","Teuge","DMR"
"152.11250","152.11250","","Riwald Recycling","Almelo","DMR"
"152.11250","152.11250","","Ouwehands Dierenpark (Dierverzorgers)","Rhenen","DMR"
"152.11250","152.11250","","BAM Utiliteitsbouw (Kanaal 16)","Landelijk","DMR"
"153.11875","148.51875","","Gebruiker onbekend ","Eindhoven ","DMR"
"153.118750","148.51875","","Albeda College locatie Haastrechtstraat opleiding Particulier beveiliger<BR>Type: DMR/DMR <BR>CC: 11 <BR>TS:  <BR>TG(s): ","Rotterdam",""
"153.16875","148.56875","","Stena Line Europoort Terminal","Rotterdam","DMR"
"153.18125","148.58125","","RelyOn Nutec","Rotterdam-Maasvlakte","DMR"
"153.18125","148.58125","","Center Parcs De Eemhof","Zeewolde","DMR"
"153.18125","148.58125","","Centrale Raad van Beroep","Utrecht","DMR"
"153.18125","148.58125","","Albert Heijn Distributiecentrum Pijnacker (Kanaal 1)","Delfgauw","DMR"
"153.34375","148.74375","","Stena Line Europoort Terminal","Rotterdam","DMR"
"153.34375","148.74375","","Stewards Willem 2 Tilburg ","Tilburg","DMR"
"154.093750","149.49375","","Taxicentrale St Job","Rotterdam","DMR"
"154.11250","149.51250","","Van Amerongen Facilitair (Verkeersregelaars)","Arnhem","DMR"
"154.887500","150.28750","","Fontys Hogeschool<BR>Type: DMR/DMR <BR>CC:  <BR>TS:  <BR>TG(s):","Eindhoven",""
"155.543750","155.543750","","Havendienst, bruggen/sluizen??? DMR ws België","???","DMR"
"163.8300","159.2300","","Afvalverwerking de Spinder Tilburg","Tilburg","DMR"
"165.13000","165.13000","","AFAS Stadion (EHBO)","Alkmaar","DMR"
"170.33000","170.33000","","BAM Utiliteitsbouw (Kanaal 9)","Landelijk","DMR"
"170.33000","170.33000","","BAM Utiliteitsbouw (Kanaal 12)","Landelijk","DMR"
"170.37000","170.37000","","BAM Utiliteitsbouw (Kanaal 10)","Landelijk","DMR"
"170.37000","170.37000","","BAM Utiliteitsbouw (Kanaal 13)","Landelijk","DMR"
"170.57000","170.57000","","BAM Utiliteitsbouw (Kanaal 11)","Landelijk","DMR"
"170.57000","170.57000","","BAM Utiliteitsbouw (Kanaal 14)","Landelijk","DMR"
"170.57000","170.57000","","Roompot Vakantiepark Hunzedal","Borger","DMR"
"172.03000","167.43000","","Gemeentewerken Heerhugowaard","Heerhugowaard","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1 Regio Overijssel","Enschede","DMR encrypted"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Friesland","Leeuwarden","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Amsterdam-Amstelland","Amsterdam","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Brabant-Zuidoost","Eindhoven","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1","Nijmegen","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Rotterdam-Rijnmond","Rotterdam","DMR"
"172.48125","167.88125","","Rode Kruis kanaal RV1, Regio Flevoland","Almere","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Midden- en West-Brabant","Tilburg","DMR encrypted"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Utrecht","Utrecht","DMR encrypted"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Friesland","Dokkum","DMR encrypted"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Haaglanden","Den Haag","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Noord- en Oost-Gelderland","Apeldoorn","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Noord en Midden Limburg","Limburg","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Kennemerland","Haarlem","DMR"
"172.55625","167.95625","","Rode Kruis kanaal RV2, Regio Limburg-Noord","Venlo","DMR encrypted"
"172.58125","167.98125","","Rode Kruis, RV3","Landelijk","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Friesland","Leeuwarden","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Amsterdam-Amstelland","Amsterdam","DMR encrypted"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Brabant-Zuidoost","Eindhoven","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Hollands Midden","Leiden","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Flevoland","Almere","DMR"
"172.58125","167.98125","","Rode Kruis kanaal RV3, Regio Rotterdam-Rijnmond","Rotterdam","DMR"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Noord-Holland Noord","Alkmaar","DMR encrypted"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Brabant-Noord","Den Bosch","DMR encrypted"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Groningen","Groningen","DMR encrypted"
