"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"10368.432000","10368.43200","","PI7HVN zendamateur bakenzender","Heerenveen",""
"118.350000","118.35000","","Ameland Radio (Aerodrome Information)","Ameland","Analoog"
"118.575000","118.57500","","Mil CAPP Schiphol (RAPCON North Backup)","Vliegbasis Leeuwarden","Analoog"
"119.3750","119.3750","","KLu schietterrein de Vliehors ","Vlieland","Analoog"
"119.650000","119.65000","","Drachten Radio (Aerodrome Information)","Drachten","Analoog"
"120.70000","120.70000","","Leeuwarden Tower","Vliegbasis Leeuwarden","Analoog"
"120.81666","120.81666","","Open dagen KLu 2016 (Display Ops)","Vliegbasis Leeuwarden","Analoog"
"121.67500","121.67500","","Leeuwarden Ground","Vliegbasis Leeuwarden","Analoog"
"123.350000","123.35000","","Friese Aero Club","Leeuwarden",""
"124.80000","124.80000","","Bremen Radar (Mil Sector Friesland)","Landelijk","Analoog"
"125.916666","125.91666","","Open Dagen KLu 2016 (Ground)","Vliegbasis Leeuwarden","Analoog"
"1298.700000","1270.70000","","PI6HVN zendamateur relais","Heerenveen",""
"132.02500","132.02500","","Mil CAPP Schiphol (RAPCON North)","Vliegbasis Leeuwarden","Analoog"
"138.05000","138.05000","","Leeuwarden WIC Weapons Instructor Course 2021","Vliegbasis Leeuwarden","Analoog"
"138.075000","138.07500","","KLu schietterrein de Vliehors "Cornfield Range"","Vlieland",""
"138.50000","138.50000","","Frisian Flag 2022 (Ops)","Vliegbasis Leeuwarden","Analoog"
"138.85000","138.85000","","Leeuwarden WIC Weapons Instructor Course 2021","Vliegbasis Leeuwarden","Analoog"
"138.90000","138.90000","","322 Sqn F-35 Air/Air “Lightning”","Vliegbasis Leeuwarden","Analoog"
"140.4500","140.4500","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden ","Analoog"
"140.5000","140.5000","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"140.55000","140.55000","","Open dagen KLu 2016 (Airpower Demo)","Vliegbasis Leeuwarden","Analoog"
"140.77500","140.77500","","322 Sqn "Polly" Ops ","Vliegbasis Leeuwarden","Analoog"
"140.9750","140.9750","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden ","Analoog"
"141.0000","141.0000","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.0500","142.0500","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.2750","142.2750","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.5000","142.5000","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.5250","142.5250","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.52500","142.52500","","322 Sqn Air/Air ","Vliegbasis Leeuwarden","Analoog"
"142.5750","142.5750","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
"142.57500","142.57500","","322 Sqn Air/Air "Jedi" / "Dawg"","Vliegbasis Leeuwarden","Analoog"
"142.9250","142.9250","","Leeuwarden WIC Weapons Instructor Course 2021","Leeuwarden","Analoog"
