"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"118.20000","118.20000","","Rotterdam Tower","Rotterdam","Analoog"
"119.700000","119.70000","","Rotterdam The Hague Airport (Tower/Regional Guard)","Rotterdam","Analoog"
"121.750000","121.75000","","Rotterdam The Hague Airport Baankanaal","Rotterdam",""
"121.95000","121.95000","","Rotterdam The Hague Airport (Airside Operations Manager)","Rotterdam","Analoog"
"122.17500","122.17500","","Rotterdam Delivery","Rotterdam","Analoog"
"122.99166","122.99166","","Rotterdam Approach (Primary)","Rotterdam","Analoog"
"123.30000","123.30000","","Wereldhavendagen 2019/2022/2023 (Display Director Marheli)","Rotterdam","Analoog"
"123.30000","123.30000","","Wereldhavendagen 2022 (Display Director)","Rotterdam","Analoog"
"123.35000","123.35000","","Zweefvliegclub Deelen / Zweefvliegclub Rotterdam","Arnhem","Analoog"
"123.550000","123.55000","","Victor Romeo formatieteam Vliegclub Rotterdam","Rotterdam",""
"128.56666","128.56666","","Rotterdam ATIS","Rotterdam","Analoog"
"129.30000","129.30000","","Wereldhavendagen 2017/2018/2022/2023 (Display Director CG08)","Rotterdam","Analoog"
"1298.625000","1270.62500","88,5","PI6RTD zendamateur relais","Rotterdam",""
"131.15000","131.15000","","Rotterdam Approach (Secondary)","Rotterdam","Analoog"
"131.75000","131.75000","","Aviapartner Groundhandling ","Rotterdam","Analoog"
"131.975000","131.97500","","Jet Aviation Rotterdam (Fixed-Base Operator)","Rotterdam",""
"145.675000","145.07500","88,5","PI3RTD zendamateur relais","Rotterdam",""
"147.750000","","","RSC Railcentre","Rotterdam Pernis",""
"147.890000","","74,4","RSC noodkanaal","Rotterdam Pernis",""
"150.137500","","218,1","Beveiliging Cruise Terminal Wilhelminakade","Rotterdam",""
"150.462500","","","De Klok afvalcontainers","Rotterdam",""
"150.487500","","67,0","Cetem Zee Container Verhuur -en Opslag","Rotterdam Botlek",""
"150.687500","","","Handico Terminals","Rotterdam-Botlek",""
"150.762500","","","Accuwacht Tolmeier","Rotterdam",""
"150.762500","","","Graanfactory Palthe en Haentjes","Rotterdam",""
"150.762500","","","Hatenboer-Neptunes scheepsdrinkwaterboot","Rotterdam",""
"150.762500","","","Peterson Cargadoors en scheepsbevrachting","Rotterdam",""
"150.837500","","","IRT Road Transport","Rotterdam",""
"150.862500","","","Combined Containerservice","Rotterdam",""
"150.987500","","","Brokerhof postverzorging","Rotterdam",""
"150.987500","","","Dijkstra Containers","Rotterdam",""
"150.987500","","","Europe Zwaveloverslagbedrijf","Rotterdam-Botlek",""
"151.062500","","","Finse zeemanskerk","Rotterdam",""
"151.062500","","","Hoogenboom Transport","Rotterdam",""
"151.212500","","","Burger cargadoors","Rotterdam",""
"151.237500","","","Burger cargadoors","Rotterdam",""
"151.287500","","","Burger cargadoors","Rotterdam",""
"151.312500","","","Zadkine College Alexanderpolder (bewakingsdienst duplex gebruik)","Rotterdam",""
"151.387500","","","Bewakingsdienst Stuyvers","Rotterdam",""
"151.387500","","","Graanfactory Palthe en Haentjes","Rotterdam",""
"151.387500","","","Smit olieproducten","Rotterdam",""
"151.387500","","","Wijnstekers containervervoer","Rotterdam",""
"151.437500","","","Deka Transport bv","Rotterdam",""
"151.437500","","","Peterson Cargadoors en scheepsbevrachting","Rotterdam",""
"151.48750","151.48750","","Taxibedrijf","Rotterdam","Analoog"
"151.687500","","","Goetzee Uitvaartonderneming","Rotterdam",""
"151.687500","","","Keiler transportbedrijf","Rotterdam",""
"151.937500","","","Van Rietschoten en Houwens","Rotterdam",""
"152.062500","","","Geref,Stichting Slingedael","Rotterdam",""
"152.062500","","","Humanitas Kliniek","Rotterdam",""
"152.062500","","","Meijers stuwadoors","Rotterdam",""
"152.062500","","","Stadion Sparta Het Kasteel (Verkeersregelaars)","Rotterdam",""
"152.062500","","","Stuyvers schoonmaakbedrijf F2","Rotterdam",""
"152.062500","","","Verpleeg- en verzorgingshuis Driemaasstede","Rotterdam",""
"152.062500","","","Verpleeghuis Humanitas kliniek","Rotterdam",""
"152.062500","","","Verzorgingstehuis Nijeveld","Rotterdam",""
"152.062500","","","Damen Shiprepair Rotterdam BV","Schiedam",""
"152.112500","","","Frisol bunkering","Rotterdam",""
"152.112500","","","Geref stichting Slingedael","Rotterdam",""
"152.112500","","","KDG Beveiliging","Rotterdam",""
"152.112500","","","Verzorgingstehuis Nijeveld","Rotterdam",""
"152.112500","","","Damen Shiprepair Rotterdam BV","Schiedam",""
"152.137500","","","Meijers stuwadoors","Rotterdam",""
"152.137500","","","Scheepswerf Verolme","Rotterdam-Botlek",""
"152.287500","","","Medisch gebruik","Rotterdam",""
"152.712500","","","Overslagbedrijf Steinweg Handelsveem Waalhavenkan 2 (intern)","Rotterdam",""
"152.912500","152.91250","","Grainwave graanoverslag","Rotterdam",""
"152.912500","","","RKC Koerierdienst","Rotterdam",""
"153.118250","148.51825","DCS047","Interforest  Alexanderhaven","Rotterdam",""
"153.118750","148.51875","","Albeda College locatie Haastrechtstraat opleiding Particulier beveiliger<BR>Type: DMR/DMR <BR>CC: 11 <BR>TS:  <BR>TG(s): ","Rotterdam",""
"153.131250","148.53125","85,4","KPN Kantorencomplex Kop van Zuid (oa BHV Ploegen)","Rotterdam",""
"153.15625","148.55625","C 241.8","Combi Terminal Twente","Rotterdam","Analoog"
"153.16875","148.56875","","Stena Line Europoort Terminal","Rotterdam","DMR"
"153.175000","148.57500","","Interforest  Alexanderhaven kanaal 3","Rotterdam",""
"153.18125","148.58125","","RelyOn Nutec","Rotterdam-Maasvlakte","DMR"
"153.34375","148.74375","","Stena Line Europoort Terminal","Rotterdam","DMR"
"153.4125","153.4125","","Kerkradio Gereformeerde Gemeente Rotterdam-Alexanderpolder","Rotterdam","Analoog"
"153.637500","149.03750","103,5","Damen Verolme Shiprepair en Conversion","Rotterdam-Botlek",""
"154.093750","149.49375","","Taxicentrale St Job","Rotterdam","DMR"
"154.687500","150.08750","173,8","Aluminiumfabriek Alcan-Aluchemie o,a Procesoperatoren","Rotterdam Botlek",""
"154.762500","","127,3","(Bewaking)","Rotterdam Botlek",""
"154.887500","150.28750","","Aluchemie","Rotterdam-Botlek",""
"154.91250","150.31250","C 82,5","Museum Boijmans van Beuningen (Beveiliging)","Rotterdam","Analoog"
"154.962500","150.36250","91,5","Erasmus Universiteit Complex Woudestein (bewaking -en BHV-Ploegen)","Rotterdam",""
"155.38750","155.38750","C 123,0","Overslagbedrijf EP Stevedoring BV/EP Shipping & Trading","Rotterdam Botlek","Analoog"
"155.462500","","","Sluijter makelaar","Rotterdam",""
"155.462500","","","Sluijter transportbedrijf","Rotterdam",""
"155.662500","","","Van de Wetering","Rotterdam",""
"155.662500","","","Van der Spek begrafenissen","Rotterdam",""
"155.687500","","","Van de Kamp wegenbouwmaterialen","Rotterdam",""
"155.762500","","","Van Leeuwen glashandel","Rotterdam",""
"155.787500","","","Tieleman takelbedrijf","Rotterdam",""
"155.810000","","","Alcoa Chemie","Rotterdam-Botlek",""
"155.810000","","","Dow Benelux","Rotterdam-Botlek",""
"155.887500","","","Althuisius transportbedrijf","Rotterdam",""
"155.962500","","","De Jong asbestverwijdering","Rotterdam",""
"155.962500","","","Kooren havensleepdienst","Rotterdam",""
"155.962500","","","Waalhaven Botlek Terminal waarschijnlijk calamiteitenkanaal","Rotterdam Botlek",""
"156.30000","156.30000","","Marifoonkanaal 6, Wereldhavendagen","Rotterdam","Analoog"
"156.47500","156.47500","","Marifoonkanaal 69, Cruiseschip MS Rotterdam (Tenders/Reddingsloepen)","Landelijk","Analoog"
"156.50000","156.50000","","Marifoonkanaal 10, schip-schip communicatie Hartelkanaal en omgeving","Rotterdam","Analoog"
