"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"122.25000","122.25000","","Thales Nederland (Radartesten)","Hengelo",""
"122.50000","122.50000","","Noord Nederlandse Zweefvlieg Club","Borgercompagnie",""
"122.75000","122.75000","","Luchtverkeersleiding Nederland Testvluchten","Landelijk",""
"123.10000","123.10000","","Nederlandse Kustwacht - SAR vliegende eenheden","Landelijk","Analoog"
"129.73333","129.73333","","Maastricht Radar Jever High Sector (Above FL355)","Noord Nederland","Analoog"
"133.21666","133.21666","","Maastricht Radar Jever Sector (Secondary)","Noord Nederland","Analoog"
"136.46666","136.46666","","Maastricht Radar Jever Low Sector (FL245-355)","Noord Nederland","Analoog"
"148.28750","148.28750","","Kerkradio Nederlands Hervormde Evangelisatiever. op Gereformeerde Grondslag","Westerhaar-Vriezenveensewijk","Analoog"
"148.41250","148.41250","","Kerkradio St. Vmb. Hersteld Nederlandse Hervormde Gemeente Nieuwaal","Nieuwaal","Analoog"
"148.41250","148.41250","","Kerkradio Oud Gereformeerde Gemeente in Nederland te Zierikzee","Zierikzee","Analoog"
"148.46250","148.46250","","Kerkradio Oud Gereformeerde Gemeente in Nederland Oranjekerk Rijssen","Rijssen","Analoog"
"148.46250","148.46250","","Kerkradio Nederlands Hervormde Gemeente Emst","Emst","Analoog"
"148.53750","148.53750","","Kerkradio Nederlands Gereformeerde Kerk","Wezep","Analoog"
"148.63750","148.63750","","Kerkradio Nederlands Hervormd Kerk Opheusden","Opheusden","Analoog"
"148.71250","148.71250","","Kerkradio Nederlands Hervormde Kerk Heerde","Heerde","Analoog"
"148.71250","148.71250","","Kerkradio Nederlands Hervormde Kerk Dirksland","Dirksland","Analoog"
"148.73750","148.73750","","Kerkradio Nederlandse Hervormde Gemeente Wierden","Wierden","Analoog"
"148.78750","148.78750","","Kerkradio Nederlandse Hervormde Gemeente Molenaarsgraaf","Molenaarsgraaf","Analoog"
"148.78750","148.78750","","Kerkradio Nederlandse Hervormde Gemeente Bruinisse","Bruinisse","Analoog"
"148.81250","148.81250","","Kerkradio Nederlandse Hervormde Gemeente Nijkerk (PKN)","Nijkerk","Analoog"
"148.81250","148.81250","","Kerkradio Nederlands Hervormde Gemeente Wapenveld","Wapenveld","Analoog"
"148.83750","148.83750","","Kerkradio Nederlands Hervormde Kerk Wekerom","Wekerom","Analoog"
"148.91250","148.91250","","Kerkradio Nederlands Hervormde Kerk Moerkapelle","Moerkapelle","Analoog"
"148.96250","148.96250","","Kerkradio Nederlands Hervormde Gemeente Streefkerk","Streefkerk","Analoog"
"148.96250","148.96250","","Kerkradio Kerkrentmeesters Nederlands Hervormde Gemeente Wateringen","Wateringen","Analoog"
"148.98750","148.98750","","Kerkradio Oud Gereformeerde Gemeente in Nederland","Grafhorst","Analoog"
"149.01250","149.01250","","Kerkradio Oud Ger. Gem. in Nederland te Ermelo","Ermelo","Analoog"
"149.11250","149.11250","","Kerkradio Oud Gereformeerde Gemeente in Nederland s-Gravendeel","s-Gravendeel","Analoog"
"150.06250","0.00000","","Betoncentrale Noord-Nederland","Groningen",""
"151.58750","0.00000","","Antennebeheer Midden Nederland","Veenendaal",""
"152.01250","0.00000","","Primagaz Nederland B,V (BHV)","Zutphen",""
"152.06250","0.00000","","Curtec Nederland","Rijen",""
"152.06250","152.06250","","Nederlands Textielmuseum","Tilburg",""
"152.06250","0.00000","","Stichting Nederlandse Draf en Rensport","Den Haag",""
"152.06250","0.00000","","Recreatieoord Oost-Nederland","Hummelo",""
"152.11250","0.00000","","Curtec Nederland","Rijen",""
"152.11250","0.00000","","Chemco Nederland","Soest",""
"152.23750","0.00000","","Noord Nederlandse Wegenbouw","Groningen",""
"153.15625","148.55625","71,9","Distributiecentrum Action Nederland BV","Zwaagdijk-Oost",""
"153.18125","148.58125","67,0","IFF Nederland (BHV)","Tilburg",""
"153.21250","153.21250","","Kerkradio Nederlandse Hervormde Gemeente Herwijnen","Herwijnen","Analoog"
"153.21250","0.00000","","Kerkradio Nederlands Hervormde Kerk Klundert","Klundert",""
"153.23750","153.23750","","Kerkradio Nederlandse Hervormde Gemeente Wierden","Hoge Hexel ","Analoog"
"153.23750","153.23750","","Kerkradio Nederlands Hervormde","Brandwijk","Analoog"
"153.28750","0.00000","","Kerkradio Gereformeerde Gemeente  In Nederland  Veenendaal","Veenendaal",""
"153.31250","153.31250","","Kerkradio Protestantse Kerken Nederland Maasdam","Maasdam","Analoog"
"153.33750","153.33750","","Kerkradio Nederlands Hervormde Kerk Holten","Holten","Analoog"
"153.41250","153.41250","","Kerkradio Nederlands Hervormde Gemeente (ihv) Goedereede","Goedereede","Analoog"
"153.43750","153.43750","","Kerkradio Nederlands Gereformeerde Kerk IJsselmuiden","IJsselmuiden","Analoog"
"153.43750","0.00000","","Kerkradio Gereformeerde Gemeente  In Nederland  Rhenen","Rhenen",""
"153.46250","0.00000","","Kerkradio Nederlandse Hervormde  Kerk Zijderveld","Zijderveld",""
"153.51250","153.51250","","Kerkradio Nederlandse Hervormde Gemeente Stolwijk","Stolwijk","Analoog"
"153.58750","153.58750","","Kerkradio Oud Gereformeerde Gemeente in Nederland Hardinxveld-Giessendam","Hardinxveld-Giessendam","Analoog"
"157.45000","157.45000","","SCC Vlissingen Nederlands Loodswezen","Vlissingen",""
"160.29000","160.29000","71,9","Reddingsbrigade Nederland kanaal 6/oranje grootschalige inzet/koppelkanaal","Landelijk",""
"162.47500","162.47500","","Marifoonkanaal 97H, Kustwacht Nederland (Toezicht en Handhaving)","Landelijk","Analoog"
"164.07000","0.00000","","Dubbelboer Nederland BV","Tweede Exloermond",""
"164.21000","0.00000","","Duphar Nederland bedrijfsbrandweer/BHV","Olst",""
"164.25000","0.00000","","Nederlandse pakketdienst","Leiden",""
"164.59000","164.59000","","Reddingsbrigade Nederland kanaal 5/groen","Landelijk",""
"164.95000","164.95000","","Reddingsbrigade Nederland kanaal 4/blauw","Landelijk",""
"164.99000","164.99000","","Reddingsbrigade Nederland kanaal 1/wit","Landelijk",""
"165.01000","165.01000","","Reddingsbrigade Nederland kanaal 2/rood","Landelijk",""
"165.17000","165.17000","","Reddingsbrigade Nederland kanaal 3/geel","Landelijk",""
"167.53000","0.00000","","Hago Nederland","Groningen stad",""
"167.65000","0.00000","","Hago Nederland","Groningen",""
"169.33000","0.00000","","Philips Nederland","Eindhoven",""
"169.93000","169.93000","C 131,8","SAR Nederland","Landelijk",""
"169.93000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"169.95000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"169.97000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"169.99000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"170.03000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"170.05000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"170.07000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"170.09000","0.00000","","Arco Chemie Nederland","Rotterdam-Botlek",""
"170.33000","0.00000","","Nederlands Architectuur Museum","Rotterdam",""
"170.33000","0.00000","","KNMI Koninklijk  nederlands  meteologisch instituut","De Bilt",""
"170.37000","0.00000","","Valvoline Nederland","Rotterdam",""
"170.37000","0.00000","","Zorgverzekeraar Oost-Nederland","Hengelo",""
"170.47000","0.00000","","UVG Nederland","Oss",""
"170.47000","0.00000","","Kantorencomplex Nationale Nederlanden o,a Bewakingsdienst","Rotterdam",""
"170.53000","0.00000","","Philips Nederland","Eindhoven",""
"170.65000","0.00000","","Hago Nederland","Heerlen",""
"292.77500","292.77500","","Maastricht Radar Jever en Jever High Sector","Noord Nederland","Analoog"
"426.70625","416.70625","","Aspen Oss B.V. en MSD Nederland","Oss","TETRA"
"427.30625","417.30625","","Aspen Oss B.V. en MSD Nederland","Oss","TETRA"
"427.53125","417.53125","","Aspen Oss B.V. en MSD Nederland","Oss","TETRA"
"427.75625","417.75625","","Aspen Oss B.V. en MSD Nederland","Oss","TETRA"
"428.00625","418.00625","","Aspen Oss B.V. en MSD Nederland","Oss","TETRA"
"430.27500","431.87500","","Coversity Repeaters Noord Nederland","Landelijk",""
"446.05313","446.05313","","Rederij Doeksen (Onboard porto MS Noord Nederland)","Harlingen Terschelling Vlieland","dPMR"
"446.06875","446.06875","","Verkeers Begeleiding Nederland","Groningen",""
"446.08125","446.08125","DCS243","Verkeersmanagement Oost-Nederland","Almelo","Analoog"
"455.79000","455.79000","","Nederlands Instituut voor Beeld en Geluid (Kanaal 2)","Hilversum",""
"455.81000","0.00000","","Logica Nederland (Kanaal 1)","Rotterdam",""
"455.81000","0.00000","71,9","STichting Evenementen Begeleiding/VerkeersBegeleiding Nederland incidenteel VRG","Groningen stad",""
"455.81000","0.00000","","Nederlands Filmmuseum","Amsterdam",""
"455.81000","0.00000","","TUI Nederland BV Schiphol (Arke Fly)","Schiphol",""
"455.81000","455.81000","167,9","Meldkamder Noord Nederland (BHV)","Drachten",""
"455.89000","0.00000","","Nederlands Filmmuseum","Amsterdam",""
"455.89000","0.00000","DCS047","Logica Nederland (Kanaal 2)","Rotterdam",""
"455.89000","455.89000","","Business Center Nederland / Atlas Arena gebouw Hoogoorddreef (Facilitaire dienst)<BR>Type: DMR/DMR <BR>CC: 1 <BR>TS:  <BR>TG(s):","Amsterdam",""
"455.89000","455.89000","225,7","Nederlands Instituut voor Beeld en Geluid (Kanaal 1 rondleidingen)","Hilversum",""
"455.89000","0.00000","71,9","Stichting Evenementen Begeleiding/VerkeersBegeleiding Nederland incidenteel VRG","Groningen stad",""
"455.91000","0.00000","74,4","Chemtrade Storage Nederland?","Rotterdam Europoort",""
"455.91000","455.91000","","Nederlands Instituut voor Beeld en Geluid","Hilversum",""
"455.93000","455.93000","DCS174","Business Center Nederland / Atlas Arena gebouw Hoogoorddreef (BHV)","Amsterdam",""
"455.93000","0.00000","71,9","STichting Evenementen Begeleiding/VerkeersBegeleiding Nederland incidenteel VRG","Groningen stad",""
"455.93000","0.00000","97,4","Logica Nederland (Kanaal 3)","Rotterdam",""
"455.97000","455.97000","","Nederlands Instituut voor Beeld en Geluid","Hilversum",""
"456.01000","456.01000","100,0","Beveiliging/BHV Hoofdkantoor G4S Nederland","Amsterdam",""
"456.17000","0.00000","","KNMI Koninklijk  nederlands  meteologisch instituut","De Bilt",""
"456.37000","0.00000","82,5","BP Nederland","Amsterdam",""
"458.33000","0.00000","","Aannemings- en bestratingsbedrijf G van Dijk en Zn Midden Nederland B,V","Genemuiden",""
"461.01000","461.01000","C 156.7","Kielstra Kraanverhuur","Noord Nederland","Analoog"
"461.05000","461.05000","C 156.7","Kielstra Kraanverhuur","Noord Nederland","Analoog"
"461.07000","461.07000","C 156.7","Kielstra Kraanverhuur","Noord Nederland","Analoog"
"461.73750","451.73750","","ETC Nederland ","Almelo","DMR"
"467.23000","457.23000","162,2","Nationale Nederlanden Gebouw Haagse Poort (Kanaal 1)","Den Haag",""
"467.23000","457.23000","118,8","Maritieme Afvalstoffen Inzameling Nederland B,V (MAIN)","Amsterdam",""
"467.25000","457.25000","","Nederlandse Radiateuren Fabriek","Mill",""
"467.35000","457.35000","123,0","Cabot Norit Nederland B,V,","Klazienaveen",""
"467.47000","457.47000","162,2","Nationale Nederlanden Gebouw Haagse Poort (Kanaal 2)","Den Haag",""
