"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"145.45000","145.45000","","2 Meter Radiozendamateurs","Landelijk","Analoog"
"145.50000","145.50000","","2 Meter Radiozendamateurs (Oproepkanaal)","Landelijk","Analoog"
"145.52500","145.52500","C 88.5","2 meter Radiozendamateur PI4VNW ","Vlaardingen","Analoog"
"145.57500","144.97500","C 77,0","2 Meter Radiozendamateur Repeaterstation PI3UTR","IJsselstein","Analoog"
"145.57500","144.97500","C 77,0","2 Meter Radiozendamateur Repeaterstation PI3UTR","Goes","Analoog"
"145.57500","144.97500","C 77,0","2 Meter Radiozendamateur Repeaterstation PI3UTR","Hilversum","Analoog"
"145.57500","144.97500","C 77.0","2 Meter Radiozendamateur Repeaterstation PI3UTR","Smilde","Analoog"
"145.67500","145.07500","C 88,5","2 Meter Radiozendamateur Repeaterstation PI3RTD","Rotterdam","Analoog"
"145.68750","145.08750","","2 Meter zendamateur relais","Vroomshoop",""
"145.71250","145.11250","C 88,5","2 Meter Radiozendamateur Repeaterstation PI6ZAZ ","Wormerveer","Analoog"
"145.75000","145.15000","C 88,5","2 Meter Radiozendamateur Repeaterstation PI3RAZ","Zoetermeer","Analoog"
"145.78750","145.18750","C 110,9","2 Meter Radiozendamateur Repeaterstation PI1ASD","Amsterdam","Analoog"
