!! # Radio information (in parts):
Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
51, PI2NMG,430.3125,+,1.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
52, PI2WFL,430.3125,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
53, PI2NOG,430.325,+,1.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
54, PI2BRD  T,430.325,+,1.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
55, PI2VLI,430.3375,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
56, PI2VNR,430.35,+,1.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
57, PI1DEC,430.3625,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
58, PI2ALK,430.375,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
59, PI2TXL,438.1,-,7.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
60, MAR 00,156,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
61, MAR 01,160.65,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
62, MAR 02,160.7,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
63, MAR 04,160.8,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
64, MAR 10,156.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
65, MAR 11,156.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
66, MAR 12,156.6,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
67, MAR 13,156.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
68, MAR 14,156.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
69, MAR 15,156.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
70, MAR 16,156.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
71, MAR 18,161.5,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
72, MAR 20,161.6,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
73, MAR 21,161.65,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
74, MAR 23,161.75,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
75, MAR 66,160.925,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
76, MAR 61,160.675,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
77, MAR 67,156.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
78, MAR 72,156.625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
79, MAR 77,156.875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
80, MAR 83,161.775,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
81, MAR 37,157.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
82, MAR 60,160.625,-,4.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
83,PMR 0,446,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,12.5,,5.0W,,,,,
84, PMR 1,446.00625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
85, PMR 2,446.01875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
86, PMR 3,446.03125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
87, PMR 4,446.04375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
88, PMR 5,446.05625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
89, PMR 6,446.06875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
90, PMR 7,446.08125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
91, PMR 8,446.09375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
92, PMR 9,446.10625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
93, PMR 10,446.11875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
94, PMR 11,446.13125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
95, PMR 12,446.14375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
96, PMR 13,446.15625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
97, PMR 14,446.16875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
98, PMR 15,446.18125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
99, PMR 16,446.19375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,6.25,,5.0W,,,,,
100,SSTV 2m,144.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,10,,5.0W,,,,,
101,SSTVFMcall,145.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,10,,5.0W,,,,,
102,SSTV_ARRIS,145.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,10,,5.0W,,,,,
